Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
MRCC,Monroe Capital Corporation,15.26,$252.97M,2012,n/a,n/a,http://www.nasdaq.com/symbol/mrcc
MNST,Monster Beverage Corporation,42.6,$24.32B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/mnst
MSDI,"Monster Digital, Inc.",1.61,$12.6M,2016,Technology,Electronic Components,http://www.nasdaq.com/symbol/msdi
MSDIW,"Monster Digital, Inc.",0.2127,n/a,2016,Technology,Electronic Components,http://www.nasdaq.com/symbol/msdiw
MORN,"Morningstar, Inc.",76.15,$3.28B,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/morn
MOSY,"MoSys, Inc.",0.2917,$19.34M,2001,Technology,Semiconductors,http://www.nasdaq.com/symbol/mosy
MTFB,Motif Bio plc,6.5208,$63.82M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mtfb
MTFBW,Motif Bio plc,1.47,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mtfbw
MPAA,"Motorcar Parts of America, Inc.",26.23,$489.59M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mpaa
MPVD,Mountain Province Diamonds Inc.,4.25,$679.23M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mpvd
MOXC,"Moxian, Inc.",3.17,$210.83M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/moxc
MRIC,MRI Interventions Inc,2.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mric
MRVC,"MRV Communications, Inc.",8.275,$56.34M,1992,Technology,Semiconductors,http://www.nasdaq.com/symbol/mrvc
MSBF,MSB Financial Corp.,14.3,$81.67M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/msbf
MSG,MSG Networks Inc.,175.67,$4.21B,2015,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/msg
MTGE,MTGE Investment Corp.,15.9,$728.18M,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge
MTGEP,MTGE Investment Corp.,25.37,$50.74M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtgep
MTSC,MTS Systems Corporation,58.1,$968.82M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mtsc
LABL,Multi-Color Corporation,77.2,$1.31B,1987,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/labl
MFSF,MutualFirst Financial Inc.,31.25,$228.88M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mfsf
MYSZ,"My Size, Inc.",5.9875,$104.21M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mysz
MYL,Mylan N.V.,38.05,$20.36B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myl
MYOK,"MyoKardia, Inc.",11.2,$352M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myok
MYOS,MYOS RENS Technology Inc.,2.79,$14.19M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myos
MYRG,"MYR Group, Inc.",38.47,$618.01M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/myrg
MYGN,"Myriad Genetics, Inc.",16.18,$1.11B,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/mygn
NBRV,Nabriva Therapeutics AG,7.97,$216.71M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nbrv
NAKD,Naked Brand Group Inc.,1.21,$7.34M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/nakd
NNDM,Nano Dimension Ltd.,5.77,$55.39M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/nndm
NANO,Nanometrics Incorporated,25.71,$640.6M,1984,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/nano
NSTG,"NanoString Technologies, Inc.",18.04,$378.91M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/nstg
NH,"NantHealth, Inc.",8.14,$986.89M,2016,Technology,EDP Services,http://www.nasdaq.com/symbol/nh
NK,"NantKwest, Inc.",5.36,$441.53M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/nk
NSSC,"NAPCO Security Technologies, Inc.",9.6,$180.47M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/nssc
NDAQ,"Nasdaq, Inc.",70.54,$11.65B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ndaq
NTRA,"Natera, Inc.",8.96,$469.35M,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ntra
